,GPStime,snr,centralFreq,confidence,label
230,1257009113.719,10.883,32.027,0.934,Scattered_Light
231,1257009821.094,15.671,3881.874,1.0,Scattered_Light
232,1257010349.531,8.467,22.449,0.991,Scattered_Light
233,1257010716.438,7.87,3945.854,0.997,Low_Frequency_Lines
234,1257011385.999,14.659,3217.289,1.0,Blip
235,1257011840.844,8.887,3983.241,0.964,Low_Frequency_Burst
236,1257012096.313,9.681,3945.854,0.919,Low_Frequency_Lines
237,1257012931.453,45.195,3983.241,0.998,Extremely_Loud
238,1257013159.82,9.714,3983.241,0.953,Low_Frequency_Burst
239,1257013181.052,9.22,168.075,1.0,Blip
240,1257013608.969,23.3,3983.241,1.0,Scattered_Light
241,1257013724.313,9.705,24.263,0.997,Low_Frequency_Lines
242,1257014575.031,8.189,24.115,1.0,Scattered_Light
243,1257015019.281,8.326,27.67,0.999,Scattered_Light
244,1257015118.344,12.59,3749.668,1.0,Scattered_Light
245,1257015410.844,10.24,1267.535,0.999,Scattered_Light
246,1257015563.094,10.229,3816.87,1.0,Scattered_Light
247,1257015623.656,14.716,2733.875,1.0,Scattered_Light
248,1257016202.372,24.951,3960.806,1.0,Blip
249,1257016519.438,19.213,3983.241,1.0,Scattered_Light
250,1257016539.469,18.895,3983.241,1.0,Scattered_Light
251,1257016676.906,7.59,27.67,0.928,Scattered_Light
252,1257016745.859,9.205,26.59,0.984,Scattered_Light
253,1257017766.531,9.766,3913.013,1.0,Scattered_Light
254,1257018488.888,14.18,310.946,1.0,Blip
255,1257018777.219,16.461,3983.241,1.0,Scattered_Light
256,1257019043.984,12.336,63.795,0.909,Power_Line
257,1257019044.016,11.874,822.681,0.918,Power_Line
258,1257019138.039,7.677,23.057,0.999,Low_Frequency_Burst
259,1257019830.031,21.169,3983.241,1.0,Scattered_Light
260,1257020259.266,8.717,3945.854,1.0,Low_Frequency_Burst
261,1257020658.469,19.376,1644.648,1.0,Scattered_Light
262,1257021002.031,18.801,38.215,1.0,Scattered_Light
263,1257021099.719,10.84,3766.002,0.983,Scattered_Light
264,1257021395.969,11.423,2837.865,1.0,Scattered_Light
265,1257021427.156,16.624,2823.051,1.0,Scattered_Light
266,1257021449.297,17.832,3764.125,0.999,Scattered_Light
267,1257021477.906,17.736,3985.119,1.0,Scattered_Light
268,1257021870.656,13.391,3983.241,1.0,Scattered_Light
269,1257022317.391,14.625,1644.648,0.999,Scattered_Light
270,1257022347.844,15.057,38.215,1.0,Scattered_Light
271,1257023385.656,16.113,561.503,1.0,Scattered_Light
272,1257024053.563,18.66,1644.648,1.0,Scattered_Light
273,1257026184.438,13.076,3201.877,1.0,Scattered_Light
274,1257026248.031,14.141,3983.832,1.0,Scattered_Light
275,1257027537.203,15.331,3987.436,1.0,Scattered_Light
276,1257059682.156,15.16,3983.241,1.0,Scattered_Light
277,1257064459.063,8.121,3609.287,0.999,Power_Line
278,1257064925.203,12.798,38.215,0.948,Scattered_Light
279,1257064988.281,18.512,3799.787,1.0,Scattered_Light
280,1257065026.094,16.458,3985.119,1.0,Scattered_Light
281,1257066020.688,8.047,2819.014,0.917,Low_Frequency_Lines
282,1257066125.219,21.818,3983.241,1.0,Scattered_Light
283,1257066298.219,14.318,3801.664,1.0,Scattered_Light
284,1257067502.781,17.343,3558.963,1.0,Scattered_Light
285,1257067638.891,16.649,3136.171,0.96,Scattered_Light
286,1257068042.297,20.719,3615.396,1.0,Scattered_Light
287,1257068264.781,19.843,1569.392,1.0,Scattered_Light
288,1257068316.094,23.756,2579.423,1.0,Scattered_Light
289,1257070849.703,15.712,3881.874,1.0,Scattered_Light
290,1257071067.281,7.563,3881.874,0.971,Low_Frequency_Lines
291,1257071551.656,11.013,1412.964,0.993,Scattered_Light
292,1257071676.344,21.591,38.215,1.0,Scattered_Light
293,1257072132.469,8.06,26.398,0.994,Scattered_Light
294,1257072426.531,24.325,3983.241,1.0,Scattered_Light
295,1257072560.656,17.023,36.338,1.0,Scattered_Light
296,1257072652.781,13.346,3983.241,0.995,Scattered_Light
297,1257072844.781,12.42,3945.854,1.0,Scattered_Light
298,1257073067.219,19.172,3983.241,1.0,Scattered_Light
299,1257073387.344,13.482,3300.554,1.0,Scattered_Light
300,1257074570.766,16.335,30.952,1.0,Scattered_Light
301,1257075249.156,10.601,2964.093,0.996,Low_Frequency_Burst
302,1257076067.953,23.107,3983.241,1.0,Scattered_Light
303,1257077717.359,8.204,63.8,0.997,Power_Line
304,1257078106.514,8.432,93.497,1.0,Blip
305,1257078658.672,11.973,28.256,0.961,Scattered_Light
306,1257079296.594,9.239,3947.731,1.0,Scattered_Light
307,1257079610.719,14.326,1676.369,0.999,Scattered_Light
308,1257080361.531,13.386,36.338,0.978,Scattered_Light
309,1257080407.109,8.254,3983.241,0.998,Scattered_Light
310,1257080696.695,9.301,2061.918,0.901,Low_Frequency_Burst
311,1257080884.406,16.613,30.952,0.968,Scattered_Light
312,1257081029.609,9.13,3874.008,1.0,Scattered_Light
313,1257081075.469,15.575,3409.167,1.0,Scattered_Light
314,1257081647.156,9.899,2965.97,1.0,Scattered_Light
315,1257081942.906,30.734,3464.271,1.0,Scattered_Light
316,1257081977.828,13.6,42.988,0.987,Low_Frequency_Burst
317,1257086818.906,20.193,36.338,1.0,Scattered_Light
318,1257086849.906,14.734,3466.148,0.953,Scattered_Light
319,1257087080.609,13.307,32.829,0.997,Scattered_Light
320,1257087267.781,8.905,23.057,0.999,Low_Frequency_Lines
321,1257087611.547,20.858,3582.116,1.0,Scattered_Light
322,1257104784.461,9.283,316.178,0.994,Whistle
323,1257105104.281,8.27,18.134,0.996,Low_Frequency_Lines
324,1257105302.563,7.673,20.716,0.997,Low_Frequency_Lines
