,GPStime,snr,centralFreq,confidence,label
233,1238453739.094,12.391,26.59,0.902,Scattered_Light
234,1238454381.906,12.453,3945.854,1.0,Scattered_Light
235,1238454981.188,8.871,3464.271,0.998,Low_Frequency_Lines
236,1238455024.594,19.812,3136.171,0.991,Scattered_Light
237,1238455313.742,8.424,289.676,0.969,Whistle
238,1238455498.063,9.043,1563.095,0.966,Low_Frequency_Lines
239,1238455960.695,14.985,447.013,0.999,Low_Frequency_Burst
240,1238456022.125,21.791,3983.241,0.989,Low_Frequency_Lines
241,1238456114.719,16.095,2836.932,0.995,Scattered_Light
242,1238456774.656,11.29,38.215,0.974,Scattered_Light
243,1238456935.891,9.869,26.59,0.906,Scattered_Light
244,1238457122.656,15.268,1597.584,1.0,Scattered_Light
245,1238457187.594,8.361,1155.883,0.952,Low_Frequency_Burst
246,1238457187.594,8.361,1155.883,0.952,Low_Frequency_Burst
247,1238457409.344,19.15,3206.699,1.0,Scattered_Light
248,1238457467.328,8.957,2783.969,0.986,Low_Frequency_Burst
249,1238457638.781,8.472,3409.167,0.934,Low_Frequency_Lines
250,1238457874.047,7.729,3427.638,0.999,Low_Frequency_Burst
251,1238458081.625,16.065,3835.788,0.995,Low_Frequency_Lines
252,1238458131.414,11.612,3143.78,1.0,Whistle
253,1238458154.656,16.988,1808.592,0.914,Scattered_Light
254,1238458228.625,8.086,1929.015,0.999,Scattered_Light
255,1238458452.469,14.588,1604.103,1.0,Scattered_Light
256,1238458560.125,10.008,3176.615,1.0,Scattered_Light
257,1238458905.125,17.297,3813.464,0.999,Low_Frequency_Lines
258,1238458979.133,7.762,3428.958,0.996,Whistle
259,1238458979.133,7.762,3428.958,0.996,Whistle
260,1238459163.844,17.87,2869.548,1.0,Scattered_Light
261,1238459199.672,7.641,26.59,0.999,Low_Frequency_Burst
262,1238459347.906,10.695,3705.856,1.0,Scattered_Light
263,1238459350.875,11.065,2241.698,0.999,Scattered_Light
264,1238459511.094,8.655,1205.198,0.998,Low_Frequency_Burst
265,1238459552.594,11.672,38.215,1.0,Scattered_Light
266,1238459650.785,12.274,258.978,0.995,Whistle
267,1238459650.785,12.274,258.978,0.995,Whistle
268,1238459885.094,12.371,26.59,0.999,Low_Frequency_Burst
269,1238460122.094,9.734,3813.464,1.0,Scattered_Light
270,1238460273.969,9.099,30.785,0.976,Scattered_Light
271,1238460395.906,7.653,1172.549,0.994,Scattered_Light
272,1238460411.188,8.567,25.047,1.0,Low_Frequency_Lines
273,1238460478.156,16.179,3030.486,1.0,Scattered_Light
274,1238460835.625,13.426,3908.818,1.0,Scattered_Light
275,1238461136.672,9.564,28.467,0.924,Scattered_Light
276,1238461431.625,11.162,3881.874,0.975,Low_Frequency_Lines
277,1238461564.656,9.981,28.467,0.998,Scattered_Light
278,1238461667.172,9.653,36.419,0.973,Scattered_Light
279,1238461791.625,22.625,26.59,0.935,Low_Frequency_Lines
