GPStime,snr,label,Q-value
1256698653.738,13.719,Tomte,5.657
1256698717.443,10.987,Tomte,5.657
1256698991.027,3477.863,Extremely_Loud,11.314
1256699161.66,10.887,Tomte,5.657
1256699328.262,12.111,Tomte,5.657
1256699348.77,8.135,Blip_Low_Frequency,5.657
1256699629.779,7.802,Blip_Low_Frequency,5.657
1256699638.855,14.59,Tomte,5.657
1256699877.053,12.478,Tomte,5.657
1256699969.192,11.509,Blip,5.657
1256700097.76,11.003,Blip_Low_Frequency,5.657
1256700624.645,844.86,Extremely_Loud,11.314
1256700686.863,8.32,Tomte,5.657
1256700779.996,34.053,Tomte,5.657
1256700891.16,21.026,Tomte,5.657
1256701047.754,11.133,Tomte,5.657
1256701054.426,15.895,Tomte,5.657
1256701055.777,9.344,Tomte,5.657
1256701132.91,7.561,Blip_Low_Frequency,5.657
1256701237.168,23.954,Tomte,5.657
1256701427.98,15.331,Tomte,5.657
1256701588.843,1106.969,Koi_Fish,5.657
1256701830.299,8.621,Blip_Low_Frequency,5.657
1256701910.66,39.146,Tomte,5.657
1256702012.992,360.266,Koi_Fish,5.657
1256702081.59,18.879,Tomte,5.657
1256702256.434,14.422,Tomte,5.657
1256702297.887,15.686,Tomte,5.657
1256702399.018,13.269,Tomte,5.657
1256702452.779,13.3,Tomte,5.657
1256702456.137,9.867,Tomte,5.657
1256702689.65,7.73,Blip_Low_Frequency,5.657
1256702861.504,12.023,Tomte,5.657
1256702917.629,17.742,Tomte,5.657
1256703018.152,9.53,Tomte,5.657
1256703178.902,9.123,Tomte,5.657
1256703352.293,20.481,Tomte,5.657
1256703690.348,16.084,Tomte,5.657
1256703767.707,16.712,Tomte,5.657
1256703894.093,25.048,Blip,5.657
1256704020.441,11.881,Tomte,5.657
1256704160.636,14.868,Blip,5.657
1256704341.105,8.962,Tomte,5.657
1256704379.16,24.835,Tomte,5.657
1256704556.988,7.881,Tomte,5.657
1256704650.285,11.943,Tomte,5.657
1256704809.947,8.76,Blip_Low_Frequency,5.657
1256704992.691,9.521,Tomte,5.657
1256705172.418,16.79,Tomte,5.657
1256705277.996,12.162,Tomte,5.657
1256705278.004,10.348,Tomte,5.657
1256705348.871,16.513,Tomte,5.657
1256705521.582,27.521,Tomte,5.657
1256705528.043,9.196,Tomte,5.657
1256705588.145,13.421,Tomte,5.657
1256705750.533,8.74,Blip,5.657
1256705808.918,1176.143,Extremely_Loud,5.657
1256705862.254,10.644,Tomte,5.657
1256705902.556,11.443,Blip,5.657
1256705997.996,36.014,Tomte,5.657
1256705998.004,29.999,Tomte,5.657
1256706021.129,29.616,Tomte,5.657
1256706315.02,26.653,Tomte,5.657
1256706441.738,8.418,Blip_Low_Frequency,5.657
1256706617.441,13.321,Tomte,5.657
1256706742.23,17.263,Tomte,5.657
1256706797.02,17.236,Tomte,5.657
1256707013.666,18.824,Tomte,5.657
1256707036.934,8.398,Tomte,5.657
1256707496.145,33.327,Tomte,5.657
1256707910.988,8.985,Tomte,5.657
1256708146.027,11.765,Tomte,5.657
1256708214.662,12.583,Tomte,5.657
1256708292.996,13.894,Tomte,5.657
1256708540.02,12.899,Tomte,5.657
1256708874.902,9.824,Tomte,5.657
1256708962.66,14.352,Tomte,5.657
1256709089.566,17.506,Tomte,5.657
1256709268.693,20.107,Tomte,5.657
1256709652.238,15.383,Tomte,5.657
1256709929.652,7.521,Blip_Low_Frequency,5.657
1256710296.064,8.366,Blip_Low_Frequency,5.657
1256710329.824,12.328,Tomte,5.657
1256710482.449,9.938,Tomte,5.657
1256710919.315,942.731,Extremely_Loud,5.657
1256710995.309,8.792,Blip_Low_Frequency,5.657
1256711039.246,11.57,Tomte,5.657
