GPStime,snr,label,Q-value
1257175490.924,7.539,Blip_Low_Frequency,5.657
1257175564.988,51.12,Tomte,5.657
1257175564.988,51.12,Tomte,5.657
1257176338.363,12.455,Tomte,5.657
1257177086.555,9.126,Fast_Scattering,5.657
1257177597.668,16.406,Tomte,5.657
1257178125.936,10.389,Blip_Low_Frequency,5.657
1257178751.59,390.225,Extremely_Loud,11.314
1257179371.45,1358.711,Extremely_Loud,5.657
1257179371.45,1358.711,Extremely_Loud,5.657
1257180655.391,8.12,Fast_Scattering,11.314
1257180765.986,10.204,Blip_Low_Frequency,5.657
1257192191.23,22.979,Whistle,45.255
1257192824.453,9.673,Fast_Scattering,11.314
1257192840.68,9.778,Fast_Scattering,11.314
1257192945.732,10.342,Blip_Low_Frequency,5.657
1257194000.056,32.399,Blip,5.657
1257195900.895,11.096,Tomte,5.657
1257195900.895,11.096,Tomte,5.657
1257195900.895,11.096,Tomte,5.657
1257225413.503,472.81,Koi_Fish,5.657
1257227671.74,8.154,Blip_Low_Frequency,5.657
1257228018.114,259.721,Koi_Fish,5.657
1257228022.465,9.159,Blip_Low_Frequency,5.657
1257228604.363,28.596,Tomte,5.657
1257229977.938,9.038,Low_Frequency_Burst,22.627
1257232824.688,11.348,Scattered_Light,45.255
1257257591.777,8.594,Blip_Low_Frequency,5.657
1257257736.688,12.813,Scattered_Light,45.255
1257257914.0,27.294,Blip,5.657
1257257914.001,36.55,Blip,5.657
1257258555.801,8.707,Tomte,5.657
1257258888.238,11.853,Blip_Low_Frequency,5.657
1257260225.346,220.452,Koi_Fish,5.657
1257262118.563,8.411,Low_Frequency_Burst,22.627
1257262629.938,11.699,Scattered_Light,45.255
1257262891.75,10.672,Low_Frequency_Lines,45.255
1257263035.726,11.175,Blip,5.657
1257263133.938,8.839,Low_Frequency_Burst,22.627
1257263937.142,47.563,Blip,5.657
1257264757.464,24.898,Blip,5.657
1257265337.156,1687.6,Low_Frequency_Burst,45.255
1257267541.415,15.499,Blip,5.657
1257268590.377,383.543,Koi_Fish,5.657
1257269719.08,15.251,Tomte,5.657
1257272315.75,12.027,Low_Frequency_Lines,45.255
1257272594.125,12.762,Scattered_Light,45.255
1257272831.313,12.147,Scattered_Light,45.255
1257275046.094,8.059,Low_Frequency_Burst,22.627
1257276092.313,8.822,Scattered_Light,45.255
1257276671.585,126.548,Koi_Fish,5.657
1257277156.25,7.906,Low_Frequency_Lines,45.255
1257277287.563,7.649,Low_Frequency_Lines,45.255
1257277608.563,10.82,Low_Frequency_Lines,22.627
1257279338.75,9.221,Low_Frequency_Lines,45.255
1257279706.813,143.953,Scattered_Light,45.255
1257279718.846,11.82,Blip_Low_Frequency,5.657
1257279816.381,40.031,Koi_Fish,5.657
1257279996.781,137.433,Scattered_Light,45.255
1257281135.365,8.135,Blip_Low_Frequency,5.657
1257281201.252,513.047,Koi_Fish,5.657
1257282254.906,43.115,Scattered_Light,45.255
1257282510.313,13.252,Scattered_Light,45.255
1257283500.813,11.747,Scattered_Light,45.255
1257283702.063,9.928,Scattered_Light,45.255
1257284269.672,1262.103,Extremely_Loud,5.657
1257285498.736,14.054,Blip,5.657
1257286314.438,12.294,Scattered_Light,45.255
1257286681.438,74.141,Scattered_Light,45.255
1257287578.375,16.309,Scattered_Light,45.255
1257287708.759,539.893,Koi_Fish,5.657
1257288290.313,33.235,Scattered_Light,45.255
1257288296.813,11.382,Scattered_Light,45.255
1257288736.638,214.055,Koi_Fish,5.657
1257289310.313,12.338,Scattered_Light,45.255
1257289522.688,77.672,Scattered_Light,45.255
1257290764.931,7.781,Blip,5.657
1257293463.813,16.382,Scattered_Light,45.255
1257294391.188,8.759,Scattered_Light,45.255
1257295552.625,32.98,Scattered_Light,45.255
1257295673.813,11.377,Scattered_Light,45.255
1257296130.563,11.643,Scattered_Light,45.255
1257296704.563,12.792,Scattered_Light,45.255
1257296871.063,10.429,Scattered_Light,45.255
1257298440.688,10.793,Scattered_Light,45.255
1257298577.009,68.819,Koi_Fish,5.657
1257300112.063,8.234,Scattered_Light,45.255
1257300277.329,1379.122,Extremely_Loud,5.657
1257301045.188,16.229,Scattered_Light,45.255
1257301490.41,15.677,Tomte,5.657
1257301542.875,18.997,Scattered_Light,45.255
1257302203.436,443.18,Extremely_Loud,5.657
1257302614.199,35.712,Extremely_Loud,22.627
1257302678.707,10.764,Blip_Low_Frequency,5.657
1257302682.063,8.333,Low_Frequency_Lines,45.255
1257304777.375,12.038,Scattered_Light,45.255
1257305282.77,8.093,Blip_Low_Frequency,5.657
1257305400.105,33.96,Tomte,5.657
1257306901.688,8.423,Scattered_Light,45.255
1257306929.487,10.226,Blip,5.657
1257306938.33,18.603,Blip_Low_Frequency,5.657
1257307246.813,16.461,Scattered_Light,45.255
1257307292.024,1619.56,Extremely_Loud,5.657
1257307727.438,9.912,Scattered_Light,45.255
1257307738.188,9.209,Scattered_Light,45.255
1257308243.563,8.289,Low_Frequency_Lines,45.255
1257308250.563,12.145,Scattered_Light,45.255
1257309175.875,7.991,Low_Frequency_Lines,45.255
1257311034.875,7.84,Low_Frequency_Lines,45.255
1257311351.838,15.256,Tomte,5.657
